month,usedType,downPercent,modelDescription,color,condition,km,modelGroup,wheel,gear,door,engine,fuel,age,rv,rvRedBook
2017-09-01,New,0.1,Yaris,White,Fair,101814.0,Yaris,FWD,Automatic,5,1.5,Benzene,54.0,0.49272479564032695,0.42370572207084467
2017-09-01,Used,0.028927541624034974,Hilux Revo 4x2 C,Grey,Fair,260327.0,C-Cab,RWD,Manual,2,2.5,Diesel,92.0,0.3758594917787743,0.35911808669656203
2017-09-01,New,0.0014234875444839859,Hilux Revo 4x2 B,Grey,Fair,12312.0,B-Cab,RWD,Manual,2,2.4,Diesel,16.0,0.6816014234875445,0.6218861209964412
2017-09-01,New,0.25108108108108107,Hilux Revo 4x2 D,White,Fair,70534.0,D-Cab,RWD,Manual,4,2.5,Diesel,40.0,0.5552432432432433,0.5527027027027027
2017-09-01,New,0.20125984251968504,Hilux Revo 4x2 B,Grey,Fair,53920.0,B-Cab,RWD,Manual,2,2.8,Diesel,15.0,0.5628031496062992,0.5551181102362205
2017-09-01,New,0.0009280742459396752,Hilux Revo 4x4 C,White,Poor,26053.0,C-Cab,4WD,Manual,4,3.0,Diesel,27.0,0.6405104408352669,0.4988399071925754
2017-09-01,New,0.15186335403726708,Hilux Revo 4x2 C,Grey,Poor,315482.0,C-Cab,RWD,Manual,2,2.5,Diesel,34.0,0.5250310559006212,0.38819875776397517
2017-09-01,New,0.20143061516452074,Vios,White,Fair,48773.0,Vios,FWD,Automatic,4,1.5,Benzene,34.0,0.5694420600858369,0.5032188841201717
2017-09-01,New,0.15119581464872944,Hilux Revo 4x2 C,Grey,Fair,47600.0,C-Cab,RWD,Manual,2,2.5,Diesel,31.0,0.556591928251121,0.5717488789237668
2017-09-01,New,0.15957820738137082,Hilux Revo 4x2 B,Grey,Fair,53079.0,B-Cab,RWD,Manual,2,2.4,Diesel,16.0,0.6506502636203867,0.5795254833040422
2017-09-01,New,0.20135135135135135,Hilux Revo 4x2 B,White,Fair,27527.0,B-Cab,RWD,Manual,2,2.4,Diesel,13.0,0.5819932432432432,0.5785472972972973
2017-09-01,New,0.15198902606310014,Hilux Revo Prerunner C,Grey,Fair,68777.0,C-Cab,RWD,Manual,4,2.4,Diesel,19.0,0.6516872427983539,0.6189986282578875
2017-09-01,Used,0.037947020211732053,Vios,Grey,Poor,159135.0,Vios,FWD,Automatic,4,1.5,Benzene,104.0,0.312274678111588,0.24320457796852646
2017-09-01,New,0.20094228504122497,Corolla Altis,White,Fair,138772.0,Altis,FWD,Automatic,4,1.8,Benzene,29.0,0.6175500588928151,0.357773851590106
2017-09-01,New,0.25087051142546246,Hilux Revo Prerunner D,White,Poor,130230.0,D-Cab,RWD,Automatic,4,2.5,Diesel,47.0,0.5891403699673559,0.4243743199129489
